주차장명,주차장구분,주차장유형,소재지도로명주소,주차구획수(대),관리기관명,관리기관 전화번호
그린웰 로제비앙 아파트 옆 공영주차장,공영,노상,산수동 374-1,27,동구 보행교통정책과,062-608-2914
국민체육선터 앞 공영주차장,공영,노상,필문대로205번길 17,11,동구 보행교통정책과,062-608-2914
산수도서관 앞 공영주차장,공영,노상,산수동 401-58 부근,24,동구 보행교통정책과,062-608-2914
국민체육센터 뒤 소규모 임시 공영주차장,공영,노외,산수동 520-10,6,동구 보행교통정책과,062-608-2914
율곡초등학교 옆 공영주차장,공영,노외,밤실로 152,10,동구 보행교통정책과,062-608-2914
명지로드힐 앞 소규모 공영주차장,공영,노외,산수동 20-8,4,동구 보행교통정책과,062-608-2914
광신프로그래스 부근 공영주차장,공영,노외,산수동 62-22,15,동구 보행교통정책과,062-608-2914
법원어린이집 옆 공영주차장,공영,노외,산수동 511-34,20,동구 보행교통정책과,062-608-2914
두암타운 옆 공영주차장,공영,노상,산수동 125 부근,20,동구 보행교통정책과,062-608-2914
지산동 공영주차장,공영,노외,지산동 712-45,33,동구 보행교통정책과,062-608-2914
힐링가든 지산동 제1주차장,공영,노외,지산동 720-59,3,동구 보행교통정책과,062-608-2914
지산휴먼시아 앞 공영주차장,공영,노상,지산동 672 일대,80,동구 보행교통정책과,062-608-2914
살레시오여고 앞 임시 공영주차장,공영,노외,"지산동 517-19, 518-5",15,동구 보행교통정책과,062-608-2914
지산2동 행정복지센터 소규모 공영주차장,공영,노외,지산동 232-46,3,동구 보행교통정책과,062-608-2914
지산IC 제1 공영주차장,공영,노외,지산동 201-7,14,동구 보행교통정책과,062-608-2914
지산IC 제2 공영주차장,공영,노외,지산동 201-7,16,동구 보행교통정책과,062-608-2914
지산동 회전교차로 부근 소규모 공영주차장,공영,노외,지산동 691-100,10,동구 보행교통정책과,062-608-2914
지산동 삼성아파트 앞 공영주차장,공영,노상,지산동 315-9 부근,18,동구 보행교통정책과,062-608-2914
검찰청 법원 주변 공영주차장,공영,노상,지산로78번길 7,65,동구 보행교통정책과,062-608-2914
지산2동 작은도서관 옆 소규모 공영주차장,공영,노상,밤실로4번길 16,18,동구 보행교통정책과,062-608-2914
서석동 공영주차장(임시 운영중단),공영,노외,서석동 25-3,28,동구 보행교통정책과,062-608-2914
KT 앞 공영주차장,공영,노상,서석동 31-10,14,동구 보행교통정책과,062-608-2914
우레옥모밀 뒤쪽 소규모 공영주차장,공영,노외,서석동 117-1,10,동구 보행교통정책과,062-608-2914
서석동 푸른길 옆 소규모 공영주차장,공영,노외,서석동 471-17,5,동구 보행교통정책과,062-608-2914
동구청(공공기관),공영,노외,서남로 1,98,동구 보행교통정책과,062-608-2914
서석초 뒤 소규모 임시 공영주차장,공영,노외,백서로210-5,3,동구 보행교통정책과,062-608-2914
여자만 뒤 소규모 임시 공영주차장,공영,노외,서석동 470-41,3,동구 보행교통정책과,062-608-2914
동구 장애인 복지관 뒤 임시 공영주차장,공영,노외,서석동 9-9 일원,32,동구 보행교통정책과,062-608-2914
세종요양병원 인근 임시 공영주차장,공영,노외,금동 61,14,동구 보행교통정책과,062-608-2914
학동 넘버원정형외과의원 옆 소규모 공영주차장,공영,노상,학동 44-5 부근,3,동구 보행교통정책과,062-608-2914
학운동 공영주차장,공영,노외,학동 730-9,40,동구 보행교통정책과,062-608-2914
증심사상가지구 주차장,공영,노외,운림동 993,77,동구 보행교통정책과,062-608-2914
운림동 공영주차장,공영,노외,운림동 664-14,12,동구 보행교통정책과,062-608-2914
수자타 앞 공영주차장,공영,노외,운림동 668-7,59,동구 보행교통정책과,062-608-2914
성촌경로당 주변 공영주차장,공영,노외,운림동 301-1,16,동구 보행교통정책과,062-608-2914
학운동 소규모 공영주차장,공영,노외,학동 813-2,6,동구 보행교통정책과,062-608-2914
학운동 제2 공영주차장,공영,노외,학동 711-1,12,동구 보행교통정책과,062-608-2914
학운동 제3 공영주차장,공영,노외,학동 711-5,8,동구 보행교통정책과,062-608-2914
학운동 행정복지센터 앞 소규모 공영주차장,공영,노상,학동 720-10,2,동구 보행교통정책과,062-608-2914
무등산국립공원사무소 옆 소규모 공영주차장,공영,노상,동산길7번길 부근,9,동구 보행교통정책과,062-608-2914
청소년 수련관(공공기관),공영,노외,의재로43번길 27-3,48,동구 보행교통정책과,062-608-2914
광일교회(종교시살),공영,노외,증심천로33번길 17,15,동구 보행교통정책과,062-608-2914
학운동 임시 공영주차장,공영,노외,운림동 271,6,동구 보행교통정책과,062-608-2914
성촌마을 입구 임시 공영주차장,공영,노외,운림동279-1,8,동구 보행교통정책과,062-608-2914
성촌마을 소규모 공영주차장,공영,노외,운림동 251,4,동구 보행교통정책과,062-608-2914
설월여고 부근 공영주차장,공영,노외,천변좌로604번안길7,24,동구 보행교통정책과,062-608-2914
소태동 진양아파트 부근 공영주차장,공영,노외,소태동 723-19,12,동구 보행교통정책과,062-608-2914
홍림교 부근 공영주차장,공영,노외,소태동 725-10,19,동구 보행교통정책과,062-608-2914
지원1동 행정복지센터 옆 소규모 공영주차장,공영,노외,소태동 622-3,6,동구 보행교통정책과,062-608-2914
무등중학교 앞 소규모 공영주차장,공영,노상,소태동 595-9 부근,9,동구 보행교통정책과,062-608-2914
소태동 방통고 앞 공영주차장,공영,노상,소태동 491 부근,16,동구 보행교통정책과,062-608-2914
한국한센복지협회 옆 소규모 공영주차장,공영,노상,남문로634 옆,2,동구 보행교통정책과,062-608-2914
지한유치원 옆 공영주차장,공영,노외,내남동 305,47,동구 보행교통정책과,062-608-2914
남계마을 부근 공영주차장,공영,노외,내남동 285,15,동구 보행교통정책과,062-608-2914
구립복합공공도서관 옆 공영주차장,공영,노외,내남동 898,23,동구 보행교통정책과,062-608-2914
자주봉 등산로 주변 공영주차장,공영,노외,소태동 1114,20,동구 보행교통정책과,062-608-2914
녹동경로당 주변 공영주차장,공영,노외,월남동 267-1,13,동구 보행교통정책과,062-608-2914
삼태경로당 주변 공영주차장,공영,노외,소태동 304,20,동구 보행교통정책과,062-608-2914
우방 1차 뒤 공영주차장,공영,노외,선교동 283-1,36,동구 보행교통정책과,062-608-2914
구너릿재 인근 공영주차장,공영,노외,선교동 263-11,14,동구 보행교통정책과,062-608-2914
교동마을 공영주차장,공영,노외,선교동 253-13,13,동구 보행교통정책과,062-608-2914
용강 공영주차장,공영,노외,용산동 227,16,동구 보행교통정책과,062-608-2914
칠전마을 소규모 공영주차장,공영,노외,월남동 481,8,동구 보행교통정책과,062-608-2914
풋살경기장 주변 공영주차장,공영,노외,2순환로872,15,동구 보행교통정책과,062-608-2914
화산마을 공영주차장,공영,노외,용산동 405,22,동구 보행교통정책과,062-608-2914
주남마을 공영주차장,공영,노외,월남동 139-2,16,동구 보행교통정책과,062-608-2914
용산동 동산타워 옆 공영주차장,공영,노상,용산동 636-139 부근,22,동구 보행교통정책과,062-608-2914
그린빌라 앞 공영주차장,공영,노상,소태동 850-14 일대,21,동구 보행교통정책과,062-608-2914
소태동 진아하이빌 인근 공영주차장,공영,노상,소태동 산26-1,8,동구 보행교통정책과,062-608-2914
용산아파트 옆 공영주차장,공영,노상,용산동 636-6 일대,18,동구 보행교통정책과,062-608-2914
지원2동 행정복지센터 옆 공영주차장,공영,노상,용산동 636-277 부근,11,동구 보행교통정책과,062-608-2914
선교동 카페 인포레 주차장(민간),공영,노외,선교동 410,17,동구 보행교통정책과,062-608-2914
소태동 대아2차 아파트 부근 임시 공영주차장,공영,노외,소태동 453-1,23,동구 보행교통정책과,062-608-2914
대연각유료주차장,민영,노외,제봉로 212번길 6,20,,
금동주차장,민영,노외,금동 153,49,,
담양주차장,민영,노외,필문대로 165 1-3,18,,
동산주차장,민영,노외,필문대로 149,20,,
남선회관주차장,민영,노외,구성로 184-8,20,,
5가주차장,민영,노외,금남로 154-2,30,,
금오주차장,민영,노외,금남로 165,15,,
한일주차장,민영,노외,불로동 89,25,,
서석주차장,민영,노외,백서로175번길 15-1,15,,
월드주차장,민영,노외,구성로 201,30,,
대중병원 주차장,민영,노외,제봉로 187,21,,
대원주차장,민영,노외,동명동 189-8,10,,
호남주차장,민영,노외,서석로7번길 15,9,,
성일(노벨병원) 주차장,민영,노외,동계천로 22,18,,
동아(굿모닝월드 광주지점)주차장,민영,노외,중앙로 273,16,,
광주투자금융 주차장,민영,노외,충장로5가 31,6,,
혜성주차장,민영,노외,계림동 505-326,26,,
보건주차장,민영,노외,양림로 119번길 16-1,30,,
반도주차장,민영,노외,대인동 28-6,50,,
청운주차장,민영,노외,지산로 55,20,,
명동주차장,민영,노외,서석로 7번길 3,21,,
만수장주차장,민영,노외,구성로 220-1,7,,
광일주차장,민영,노외,산수동 538-12,20,,
김씨주차장,민영,노외,문화전당로 35번길 30-1,26,,
지산주차장,민영,노외,지산동 679-9,14,,
장동주차장,민영,노외,동명동 154-54,17,,
건영주차장,민영,노외,계림동 298-1,26,,
일신주차장,민영,노외,구성로 171,29,,
그랜드주차장,민영,노외,불로동 122-7,27,,
학주차장,민영,노외,"학동 613-3, 4, 5, 13",23,,
동화주차장,민영,노외,궁동 24,21,,
파레스주차장,민영,노외,서석로7번길 15,17,,
학동주차장,민영,노외,제봉로 14,67,,
대성주차장,민영,노외,서석로7번길 6-31,22,,
유성카주차장,민영,노외,백서로 199,22,,
엑스포주차장,민영,노외,"동명동 174, 171-1",18,,
무등주차빌딩 주차장,민영,노외,구성로 204번길 15-5,46,,
성진주차장,민영,노외,서석로 85번길 3,15,,
정진주차장,민영,노외,장동 67-13,18,,
수타워주차장,민영,노외,금동 23-23,30,,
전성주차장,민영,노외,천변우로 359,21,,
청송주차장,민영,노외,동계천로 95번길 33,28,,
중앙주차장,민영,노외,궁동 12-5,12,,
성인주차장,민영,노외,금남로 189-2,36,,
예술길 마을 주차장,민영,노외,예술길 27-6,20,,
학동주차장,민영,노외,학동 98,17,,
태능주차장,민영,노외,호남동 32-9,18,,
안전주차장,민영,노외,문화전당로35번길 23-2,36,,
청송주차장,민영,노외,지산로 61,20,,
춘추주차장,민영,노외,문화전당로26번길 8,17,,
한강주차장,민영,노외,서석로 13,40,,
충장주차빌딩 주차장,민영,노외,충장로 14-12,62,,
남선주차장,민영,노외,계림동 474-3,17,,
충장주차장,민영,노외,중앙로 165,24,,
대인주차장,민영,노외,구성로238번길 24,20,,
서광주차장,민영,노외,백서로197번길 5,20,,
모네주차장,민영,노외,금남로5가 170,9,,
세성주차장,민영,노외,대인동 315-1,19,,
장원주차장,민영,노외,수기동 35-1,9,,
예술주차장,민영,노외,궁동 33,20,,
곡성주차장,민영,노외,대인동 148-2,23,,
한일주차장,민영,노외,수기동 50-2,9,,
남경주차장,민영,노외,불로동 98-1,20,,
삼호주차장,민영,노외,불로동 43,9,,
광명주차장,민영,노외,중앙로 276,17,,
신화주차장,민영,노외,남동 149,18,,
대동주차장,민영,노외,제봉로 191,15,,
지산주차장,민영,노외,지산로 78번길 18,7,,
동락주차장,민영,노외,"금동 31-5, 35-7",6,,
삼호주차장,민영,노외,학동 70-3,5,,
광장주차장,민영,노외,"지산동 432-29, 30, 31",17,,
크린주차장,민영,노외,"서석동 11-10, 11-6, 5-1",50,,
영빈주차장,민영,노외,동명로 103,24,,
서진주차장,민영,노외,"동명동 22-39, 15-1, 8",9,,
매일주차장,민영,노외,대인동 153,16,,
동산주차장,민영,노외,지산로52번길 15-29,13,,
한성주차장,민영,노외,장동 39-26,24,,
성원주차장,민영,노외,백서로125번길 11-1,10,,
동영주차장,민영,노외,수기동 20,15,,
제일주차장,민영,노외,남동 4-9,13,,
금촌주차장,민영,노외,경양로277번길30,16,,
삼성주차장,민영,노외,구성로 152번길 24-1,23,,
뉴계림주차장,민영,노외,"계림동 558-10, 12",11,,
바른주차장,민영,노외,준법로 3,26,,
동천주차장,민영,노외,밤실로 11-32,11,,
타워주차장,민영,노외,"남동 4-8, 11",14,,
천하주차장,민영,노외,금남로 250-3,46,,
동산주차장,민영,노외,금남로 161-26,34,,
삼복주차장,민영,노외,중앙로 253-2,18,,
중앙로주차장,민영,노외,중앙로 228,20,,
신동아주차장,민영,노외,"불로동 11-7, 10",10,,
청해주차장,민영,노외,지산로 63번길 4,12,,
동산주차장,민영,노외,동명로 110번길 4,16,,
삼성생명주차장,민영,노외,금남로 148,11,,
우천주차장,민영,노외,장동 86-11,9,,
현대주차장,민영,노외,백서로 129,18,,
효성주차장,민영,노외,호남동 39-11,17,,
충오주차장,민영,노외,충장로 4-6,16,,
전일주차장,민영,노외,서석로 67,20,,
중앙주차장,민영,노외,대의동 26,16,,
신흥주차장,민영,노외,충장로 46번길 14,72,,
동문주차장,민영,노외,장동 17-3,14,,
봉황주차장,민영,노외,무등로 307번길 6-7,10,,
삼성주차장,민영,노외,서석로 31-3,16,,
경마주차장,민영,노외,"계림동 296-7, 464-9",14,,
정암주차장,민영,노외,"충장로4가 3-12, 55-3",15,,
시네마주차장,민영,노외,지산동 709-19,79,,
평화주차장,민영,노외,계림동 289-4,30,,
월드주차장,민영,노외,동명동 159-10,10,,
일성주차장,민영,노외,충장로4가 57,10,,
우진주차장,민영,노외,금동 187-2,7,,
뉴경마주차장,민영,노외,중흥로 229,14,,
KT 주차장,민영,노외,서남동 17-13,4,,
월드주차장,민영,노외,서석로 7번길 6-7,24,,
진주주차장,민영,노외,계림동 485-3,23,,
한마음,민영,노외,서석동 7-18,5,,
궁동주차장,민영,노외,"궁둥 52, 52-7",11,,
파크모텔주차장,민영,노외,제봉로 200번길 8,23,,
번성주차장,민영,노외,산수동 136-1,17,,
대박주차장,민영,노외,계림동 298-14,11,,
고려주차장,민영,노외,계림동 465-40,7,,
남동주차장,민영,노외,문화전당로 16번길 4,36,,
광주주차장,민영,노외,대의동 3-1,22,,
장동주차장,민영,노외,장동 9-3외 2,20,,
남동주차장,민영,노외,"금동 40, 41, 42",42,,
남도주차장,민영,노외,문화전당로 35번길 35-1,13,,
수련주차장,민영,노외,경양로 387,14,,
골드주차장,민영,노외,서석동 47-1,49,,
순창주차장,민영,노외,불로동 100-4,8,,
전대주차장,민영,노외,학동 118,11,,
남도주차장,민영,노외,계림동 277-1외 5,80,,
매일주차장,민영,노외,구성로 194번길 3,20,,
금호주차장,민영,노외,충장로5가 100-6,18,,
동구주차장,민영,노외,용산동 262-4,41,,
선민주차장,민영,노외,충장로5가 25,11,,
불로주차장,민영,노외,불로동 51-2,6,,
자연생활주차장,민영,노외,서석로 85번길 16,15,,
방부주차장,민영,노외,구성로 262,10,,
청하주차장,민영,노외,수기동 21-3,47,,
온누리주차장,민영,노외,지산동 717-36,10,,
홍림주차장,민영,노외,"학동 276-2, 97-6",10,,
대동주차장,민영,노외,금남로 170-9,10,,
용산역주차장,민영,노외,칠전길 2,46,,
금남지하상가 지하주차장,민영,노외,금남로1가 23,107,,
영빈2주차장,민영,노외,동명로 113,13,,
전자상가주차장,민영,노외,금남로 169번길 12-1,28,,
정민주차장,민영,노외,"지산동 714-31, 32",4,,
새중앙주차장,민영,노외,서석로 30,1,,
중앙주차장,민영,노외,호남동 48,20,,
열린산업주차장,민영,노외,동명동 209-42,8,,
24시 유료주차장,민영,노외,문화전당로 35번길 8-3,9,,
오성주차장,민영,노외,궁동 54-5,17,,
현대주차장,민영,노외,동명로 110번길 2,10,,
금일주차장,민영,노외,지산동 717-35,10,,
무등주차장,민영,노외,필문대로 205번길 19-4,8,,
스마트저축은행주차장,민영,노외,중앙로 199,30,,
억만이주차장,민영,노외,계림동 577-7,14,,
㈜태현렌트카 주차장,민영,노외,지산동 502,20,,
계림주차장,민영,노외,계림동 487-20,12,,
지산주차장,민영,노외,금남로 203,29,,
신평주차장,민영,노외,"호남동 43-13, 21",8,,
금남주차세차장,민영,노외,금남로5가 154-1,23,,
자률주차장,민영,노외,금남로5가 116-2,20,,
금남전자상가,민영,노외,독립로 264번길 12,76,,
미소주차장,민영,노외,광산동 100-6,14,,
소태주차장,민영,노외,소태동 690-2,20,,
바이오스타주차장,민영,노외,수기동 3-16,21,,
대각주차장,민영,노외,대인동 79,11,,
그랜드주차장,민영,노외,서석동 24,31,,
무등현대미술관,민영,노외,증심사길 9,20,,
한화생명보험㈜광주사옥 주차장,민영,노외,중앙로 223,119,,
에스원주차장,민영,노외,문화전당로 26번길 6,50,,
한일빌딩주차장,민영,노외,제봉로 27,58,,
고려자동차공업사주차장,민영,노외,중흥로 217,12,,
두산주차장,민영,노외,학동 901-145,6,,
동진주차장,민영,노외,물로동 181-3,6,,
지산주차장,민영,노외,"지산동 716-31, 32, 33, 37",16,,
추선장학회주차장,민영,노외,중앙로 209,65,,
신광주차장,민영,노외,문화전당로 45,12,,
창성주차장,민영,노외,"지산동 714-67, 69",14,,
금촌주차장,민영,노외,"금남로4가 38, 37-4",14,,
대일주차장,민영,노외,구성로 194번길 4,40,,
이화주차장,민영,노외,용산동 636-42외 4,62,,
빵빵주차장,민영,노외,충장로5가 80-1,96,,
군산앞바다주차장,민영,노외,필문대로 191번길 15-13,5,,
모든주차장,민영,노외,구성로 143,30,,
황금알주차장,민영,노외,"서석동 125-1, 470-8 ,999-14, 470-48, 470-31, 33",68,,
금남주차장,민영,노외,중앙로 196번길 9,26,,
스타주차장,민영,노외,서석로 7번길 6-7,38,,
대광주차장,민영,노외,문화전당로 26번길 4,18,,
광주토끼주차장,민영,노외,"대인동 29-9, 10",4,,
도원주차장,민영,노외,서석동 91-1,16,,
계8주차장,민영,노외,경양로 237,16,,
글로벌주차장,민영,노외,금남로5가 6-3,40,,
다촌주차장,민영,노외,문화전당로 39-7,28,,
프렌드주차장,민영,노외,"지산동 709-38, 709-41 일부",9,,
태산(궁동)주차장,민영,노외,"궁동 17-7, 19, 20",19,,
회관주차장,민영,노외,"대인동 61-1, 62, 62-1",15,,
남도주차장,민영,노외,남동 167-3외 3,60,,
제이유료주차장,민영,노외,금남로 5가 77-3,10,,
영민주차장,민영,노외,"지산동 715-19, 20",7,,
한국주차장,민영,노외,필문대로222,13,,
태평주차장,민영,노외,중앙로 150-11,10,,
스마일주차장(구: 현대주차장),민영,노외,호남동 37-10외 1,24,,
(중앙)주차장,민영,노외,궁동 34-7,7,,
예일주차장,민영,노외,금남로4가 33,9,,
(유)도이주차장,민영,노외,"시산동 461-2, 3, 12",20,,
우진주차장,민영,노외,계림동 285-2,19,,
현대토건주차장,민영,노외,남문로 708-1,4,,
계림인투파킹세이브,민영,노외,계림동 577-7외 1,26,,
동계주차장,민영,노외,동명동 173-2,10,,
동명주차장,민영,노외,동명동 143-12외 2,18,,
세종주차장,민영,노외,백서로117번길 5-2,16,,
선진주차장,민영,노외,금남로5가 99-1외 2,49,,
상아복지주차장,민영,노외,제봉로149,4,,
광천노상,공영주차장,노상,광천동 710-60,1,서구청,062-360-7810
금호2동노상,공영주차장,노상,금호2동 802-4,3,서구청,062-360-7810
농성노상1,공영주차장,노상,농성동 649-8,19,서구청,062-360-7810
농성노상2,공영주차장,노상,농성동 412-7,23,서구청,062-360-7810
쌍촌노상1,공영주차장,노상,쌍촌동 1195-10,26,서구청,062-360-7810
쌍촌노상2,공영주차장,노상,쌍촌동 1218-1,44,서구청,062-360-7810
쌍촌노상3,공영주차장,노상,쌍촌동 1218-1,13,서구청,062-360-7810
쌍촌노상4,공영주차장,노상,쌍촌동 1224-8,30,서구청,062-360-7810
쌍촌노상5,공영주차장,노상,쌍촌동 1237-8,36,서구청,062-360-7810
쌍촌노상6,공영주차장,노상,쌍촌동 1240-1,41,서구청,062-360-7810
쌍촌노상7,공영주차장,노상,쌍촌동 331-44,21,서구청,062-360-7810
쌍촌노상8,공영주차장,노상,쌍촌동 496-4,20,서구청,062-360-7810
양동노상1,공영주차장,노상,양동 456-163,28,서구청,062-360-7810
양동노상2,공영주차장,노상,양동 456-69,21,서구청,062-360-7810
양동노상3,공영주차장,노상,양동 46-1,30,서구청,062-360-7810
화정1동노상1,공영주차장,노상,화정1동 313-6,27,서구청,062-360-7810
화정1동노상2,공영주차장,노상,화정1동 840-31,6,서구청,062-360-7810
화정3동1,공영주차장,노상,화정3동 368-116,17,서구청,062-360-7810
화정4동노상1,공영주차장,노상,화정4동 482-3,24,서구청,062-360-7810
화정2동노상1,공영주차장,노상,화정2동 525,21,서구청,062-360-7810
화정2동노상2,공영주차장,노상,화정2동 652,49,서구청,062-360-7810
화정3동2,공영주차장,노상,화정3동 830,31,서구청,062-360-7810
화정3동3,공영주차장,노상,화정3동 840-1,11,서구청,062-360-7810
화정3동4,공영주차장,노상,화정3동 841-1,12,서구청,062-360-7810
화정3동5,공영주차장,노상,화정3동 843,19,서구청,062-360-7810
화정3동6,공영주차장,노상,화정3동 845-24,26,서구청,062-360-7810
화정3동7,공영주차장,노상,화정3동 846-22,26,서구청,062-360-7810
화정3동8,공영주차장,노상,화정3동 851-1,18,서구청,062-360-7810
화정3동9,공영주차장,노상,화정3동 898,21,서구청,062-360-7810
화정4동노상4,공영주차장,노상,화정4동 900-1,10,서구청,062-360-7810
화정4동노상5,공영주차장,노상,화정4동 927-1,26,서구청,062-360-7810
화정3동10,공영주차장,노상,화정3동 367-18,15,서구청,062-360-7810
화정2동노상3,공영주차장,노상,화정2동 770-7,20,서구청,062-360-7810
화정3동11,공영주차장,노상,화정3동852-10,17,서구청,062-360-7810
풍암노상,공영주차장,노상,풍암동 1030,57,서구청,062-360-7810
화정1동노상3,공영주차장,노상,화정동 290-36,9,서구청,062-360-7810
서구청사,공영주차장,부설,농성동299(지하),194,서구청,062-360-7810
서구청사,공영주차장,부설,농성동299(지상),118,서구청,062-360-7810
서구청사,공영주차장,부설,농성동299(타워),143,서구청,062-360-7810
금호1동행정복지센터,공영주차장,부설,금호동747-2,13,서구청,062-360-7810
금호2동행정복지센터,공영주차장,부설,금호동811-1,9,서구청,062-360-7810
광천동행정복지센터,공영주차장,부설,광천동122-13,17,서구청,062-360-7810
농성1동행정복지센터,공영주차장,부설,농성동345-15,18,서구청,062-360-7810
농성2동행정복지센터,공영주차장,부설,농성동630-7,21,서구청,062-360-7810
동천동행정복지센터,공영주차장,부설,동천동611,15,서구청,062-360-7810
상무1동행정복지센터,공영주차장,부설,쌍촌동328-25,19,서구청,062-360-7810
상무2동행정복지센터,공영주차장,부설,쌍촌동1227-4,12,서구청,062-360-7810
서창동행정복지센터,공영주차장,부설,세하동553-1,9,서구청,062-360-7810
양동행정복지센터,공영주차장,부설,양동307-9,12,서구청,062-360-7810
양3동행정복지센터,공영주차장,부설,양동461,10,서구청,062-360-7810
유덕동헹정복지센터,공영주차장,부설,유촌동499-1,31,서구청,062-360-7810
치평동행정복지센터,공영주차장,부설,치평동1171-11,6,서구청,062-360-7810
풍암동행정복지센터,공영주차장,부설,풍암동1125,7,서구청,062-360-7810
화정1동행정복지센터,공영주차장,부설,화정동74-11,4,서구청,062-360-7810
화정2동행정복지센터,공영주차장,부설,화정동1611,27,서구청,062-360-7810
화정3동행정복지센터,공영주차장,부설,화정동818-9,14,서구청,062-360-7810
화정4동행정복지센터,공영주차장,부설,화정동919-21,17,서구청,062-360-7810
향토문화마을공영주차장,공영주차장,노외,세하동682-5,15,서구청,062-360-7810
어린이생태학습도서관,공영주차장,노외,풍암공원로8,62,서구청,062-360-7810
농성1동 주거환경개선지구,공영주차장,노외,농성동30-10,37,서구청,062-360-7810
풍암호수공원 공영주차장,공영주차장,노외,풍암동491-5,179,서구청,062-360-7810
유덕동 공영주차장,공영주차장,노외,유촌동148,7,서구청,062-360-7810
