주차장명,기관구분,기관명,담당자명,담당자연락처,시도명,시군구명,주소,위치,주차장유형,09월 28일,09월 29일,09월 30일,10월 01일,10월 02일,10월 03일,365일 상시 무료개방여부,참고사항,기준일자
고현3,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1790,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현2,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1812,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현1,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1868,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현11,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1912,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
무인정산시스템 구간,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1936,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현13,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로23길 6,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현12,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로25길 16,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현로14길,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현로 14길(고현동 930-3),지상,노외,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현8,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현로14길 21,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현8,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현로14길 23,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현7,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현천로 56,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현6,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현천로 76,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현7,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현천로 76,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현5,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현천로 92,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현9,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 고현천로30,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
능포1,지방자치단체,경상남도 거제시 교통과,윤민지,055-639-4546,경상남도,거제시,경상남도 거제시 능포로 134,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
능포2,지방자치단체,경상남도 거제시 교통과,윤민지,055-639-4546,경상남도,거제시,경상남도 거제시 능포로 158,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
능포3,지방자치단체,경상남도 거제시 교통과,윤민지,055-639-4546,경상남도,거제시,경상남도 거제시 능포로2길 71,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
무인정산시스템 구간,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 서문로 30,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
무인정산시스템 구간,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 서문로 41,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
무인정산시스템 구간,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 서문로 56,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
무인정산시스템 구간,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 서문로 79,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현10,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 서문로6길 1,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포1,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포대첩로 45,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포2,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포대첩로 46,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포국제시장 공영주차장,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포대첩로43(옥포동),지상,노외,종일개방,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포12,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포동 1988(옥포43어린이공원),지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포4,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로 181,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포3,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로 209,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포11,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로4길 11,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포9,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로6길 11-1,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포10,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로6길 23,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포매립지,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포로6길30(옥포동 1915-1),지상,노외,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포5,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포성안로 33,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포6,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포성안로 54,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포7,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포성안로 63,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포8,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포성안로72,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평1,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평1로 134,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평5,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평로 16-15,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평4,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평로 49,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평우체국,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평로 53(장평동 37-7),지상,노외,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평2,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평로 69-1,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
장평3,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 장평로55,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
남부면사무소 부설,지방자치단체,경상남도 거제시 남부면,윤채빈,055-639-6532,경상남도,거제시,경상남도 거제시 남부해안로 30,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
능포동 장미공원,지방자치단체,경상남도 거제시 능포동,전은정,055-639-6803,경상남도,거제시,경상남도 거제시 능포동 412-3,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
능포동 주민센터,지방자치단체,경상남도 거제시 능포동,정연이,055-639-6972,경상남도,거제시,경상남도 거제시 능포로 182,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
동부면사무소,지방자치단체,경상남도 거제시 동부면,백정화,055-639-6492,경상남도,거제시,경상남도 거제시 동부면 동부로 16,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
둔덕면사무소,지방자치단체,경상남도 거제시 둔덕면,도래파,055-639-6592,경상남도,거제시,경상남도 거제시 둔덕면 거제남서로 4620,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
둔덕가족생활체육공원,지방자치단체,경상남도 거제시 둔덕면,이윤성,055-639-6594,경상남도,거제시,경상남도 거제시 둔덕면 하둔리 645,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제시 보건소,지방자치단체,경상남도 거제시 보건소,박상현,055-639-6116,경상남도,거제시,경상남도 거제시 수양로 506,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
사등면사무소 공공주차장,지방자치단체,경상남도 거제시 사등면,강민선,055-639-6634,경상남도,거제시,경상남도 거제시 사등면 성포로 104,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
독봉산웰빙공원,지방자치단체,경상남도 거제시 산림녹지과,반유진,055-639-4344,경상남도,거제시,경상남도 거제시 고현천로 181,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
상문동 주민센터,지방자치단체,경상남도 거제시 상문동,최정란,055-639-6952,경상남도,거제시,경상남도 거제시 거제중앙로 1641,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
상문동 공영주차장,지방자치단체,경상남도 거제시 상문동,최정란,055-639-6952,경상남도,거제시,경상남도 거제시 상동동 169-5,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
옥포사거리 위쪽,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포대첩로 28,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
옥포사거리 아래쪽,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 옥포대첩로 35,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
수양동주민센터 부설주차장,지방자치단체,경상남도 거제시 수양동주민센터,최둘숙,055-639-6979,경상남도,거제시,경상남도 거제시 제산로5길 26,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
아주동주민센터,지방자치단체,경상남도 거제시 아주동,김영진,055-639-6822,경상남도,거제시,경상남도 거제시 탑곡로 73,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
연초면사무소 주차장,지방자치단체,경상남도 거제시 연초면사무소,이동훈,055-639-6663,경상남도,거제시,경상남도 거제시 연초면 죽토로 11,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
옥포1동주민센터,지방자치단체,경상남도 거제시 옥포1동,안중현,055-639-6842,경상남도,거제시,경상남도 거제시 옥포로2길 7(옥포동),지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
일운면사무소,지방자치단체,경상남도 거제시 일운면,김수진,055-639-6464,경상남도,거제시,경상남도 거제시 일운면 지세포4길 7,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
선창마을 임시공용주차장,지방자치단체,경상남도 거제시 일운면,이영빈,055-639-6482,경상남도,거제시,경상남도 거제시 일운면 지세포리 324,지상,노상,X,X,X,X,X,X,X,유료주차장으로 변경됨,2023-09-27
지세포유람선터미널주차장,지방자치단체,경상남도 거제시 일운면,이영빈,055-639-6482,경상남도,거제시,경상남도 거제시 일운면 지세포리 929-88,지상,노상,X,X,X,종일개방,종일개방,종일개방,O,9.30 추석맞이 불꽃행사 축제,2023-09-27
장목면사무소,지방자치단체,경상남도 거제시 장목면사무소,박미나,055-639-6724,경상남도,거제시,경상남도 거제시 장동1길 46-1,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제시 장승포동주민센터,지방자치단체,경상남도 거제시 장승포동,김희율,055-639-6753,경상남도,거제시,경상남도 거제시 장승로 146-25,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
장평동주민센터,지방자치단체,경상남도 거제시 장평동,배혜민,055-639-6893,경상남도,거제시,경상남도 거제시 장평3로 10(장평동),지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
하청면사무소,지방자치단체,경상남도 거제시 하청면,박지희,055-639-6692,경상남도,거제시,경상남도 거제시 하청면 하청로 12-7,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
