주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,주차기본요금(원),추가단위시간,추가단위요금(원),1일주차권요금적용시간, 1일주차권요금(원) ,월정기권요금(원),결제방법,관리기관명,전화번호,데이터기준일자
19,만석공원 제1,공영,노외,장안구 송죽동 286-1,장안구 송죽동 286-1,76,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
20,만석공원 제2,공영,노외,장안구 송죽동 228,장안구 송죽동 228,61,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
21,만석공원 제3,공영,노외,장안구 송죽동 318,장안구 송죽동 318,50,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
22,만석공원 제4,공영,노외,장안구 송죽동 346-6,장안구 송죽동 346-6,43,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
23,매탄공원,공영,노외,영통구 매탄동 811,영통구 매탄동 811,222,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
24,신대호수,공영,노외,영통구 하동 1008,영통구 하동 1008,245,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,공란,카드전용,수원도시공사,031-695-0930,2025-12-29
25,원천호수공원,공영,노외,영통구 하동 1024,영통구 하동 1024,396,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,공란,카드전용,수원도시공사,031-695-0930,2025-12-29
26,행복한들,공영,노외,영통구 하동 1026-1,영통구 하동 1026-1,229,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,공란,카드전용,수원도시공사,031-695-0930,2025-12-29
27,권선지하,공영,노외,권선구 권선동 980,권선구 권선동 980,66,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
28,남수동,공영,노외,팔달구 남수동 41-7,팔달구 남수동 41-7,63,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
29,매봉공영,공영,노외,영통구 매탄동 1210,영통구 매탄동 1210,200,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
30,영화동,공영,노외,장안구 영화동 250-1,장안구 영화동 250-1,212,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
31,우만공원(지하),공영,노외,팔달구 우만동 500,팔달구 우만동 500,119,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
32,인계동주택,공영,노외,팔달구 인계동 821-2,팔달구 인계동 821-2,80,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
33,장안동공영,공영,노외,팔달구 장안동 51,팔달구 장안동 51,163,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
34,연무동공영,공영,노외,장안구 경수대로 743번길 57(연무동),장안구 경수대로 743번길 57(연무동),158,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
35,신동제1공영,공영,노외,영통구 신동 931-5,영통구 신동 931-5,62,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
36,대황교화물,공영,노외,권선구 대황교동 31-3,권선구 대황교동 31-3,244,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"2.5톤이하 35,000 / 20,000 / 40,0002.5톤~4.5톤 70,000 / 40,000 / 80,0004.5톤이상 105,000 / 60,000 / 120,000",카드전용,수원도시공사,031-267-4753,2025-12-29
37,수원화물공영차고지,공영,노외,권선구 고색동 1196,권선구 고색동 1196,209,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"2.5톤이하 35,000 / 20,000 / 40,0002.5톤~4.5톤 70,000 / 40,000 / 80,0004.5톤이상 105,000 / 60,000 / 120,000",카드전용,수원도시공사,031-278-9206,2025-12-29
38,곡반정동 제2공영,공영,노외,권선구 곡반정동 553,권선구 곡반정동 553,204,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
39,터미널공영,공영,노외,권선구 권선동 1212,권선구 권선동 1212,51,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
40,교동공영,공영,노외,팔달구 교동 98,팔달구 교동 98,243,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
41,인계공영,공영,노외,팔달구 인계동 944,팔달구 인계동 944,56,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
42,창룡공영,공영,노외,팔달구 우만동 582,팔달구 우만동 582,87,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
43,백설공영,공영,노외,장안구 정자동 879-3,장안구 정자동 879-3,56,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
44,율전공영,공영,노외,장안구 율전동 433-2,장안구 율전동 433-2,118,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
45,화홍문공영,공영,노외,장안구 영화동 152-2,장안구 영화동 152-2,497,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
46,광교1동공영,공영,노외,영통구 이의동 1274,영통구 이의동 1274,35,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
47,광교대학로공영,공영,노외,영통구 이의동 1260-6,영통구 이의동 1260-6,49,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
48,광교중앙마을공영,공영,노외,영통구 원천동 577,영통구 원천동 577,46,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
49,카페거리 1공영,공영,노외,영통구 이의동 1307-3,영통구 이의동 1307-3,64,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
50,영통공영,공영,노외,영통구 영통동 995-3,영통구 영통동 995-3,305,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
51,역세권1지구,공영,노외,권선구 서둔동 393,권선구 서둔동 393,100,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
52,파장동맛고을,공영,노외,장안구 파장동 338-18,장안구 파장동 338-18,70,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
53,곡반정동 제7공영,공영,노외,권선구 곡반정동 652-1,권선구 곡반정동 652-1,92,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
54,우만2동공영,공영,노외,팔달구 우만동 72-3,팔달구 우만동 72-3,173,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
55,화서시장공영,공영,노외,팔달구 화서동 98-16,팔달구 화서동 98-16,159,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"야간50,000",카드전용,수원도시공사,031-695-0930,2025-12-29
56,곡반제8공영,공영,노외,권선구 곡반정로 158번길 4,권선구 곡반정로 158번길 4,271,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
57,구운공원공영,공영,노외,권선구 구운로 14번길 42,권선구 구운로 14번길 42,67,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
58,광교외식타운,공영,노외,영통구 이의동 1220-1번지,영통구 이의동 1220-1번지,33,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
59,화서동먹거리촌,공영,노외,팔달구 화서동 678-1번지,팔달구 화서동 678-1번지,142,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
60,고등동공영,공영,노외,팔달구 고등동 317,팔달구 고등동 317,40,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
61,율전제3,공영,노외,장안구 율전동 281-3번지,장안구 율전동 281-3번지,44,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
62,신동제3,공영,노외,영통구 신동 1012번지,영통구 신동 1012번지,57,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
