연도,명절구분,순번,자원명,관리기관구분,기관명,주소,상세주소,경도,위도,주차장유형,주차면수,휴일_1_개방일,휴일_1_개방시간,휴일_2_개방일,휴일_2_개방시간,휴일_3_개방일,휴일_3_개방시간,휴일_4_개방일,휴일_4_개방시간,휴일_5_개방일,휴일_5_개방시간,요금정책,참고사항
2026,설,11183,황화정리 공영주차장,지방자치단체,충청남도 논산시 건설도시국 교통과,충남 논산시 연무읍 황화정리 800-6,,127.1042094,36.09184692,노외,11,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,논산시 민원콜센터 1422-17
2026,설,11185,내동 554,지방자치단체,충청남도 논산시 건설도시국 교통과,충남 논산시 내동 554,,127.1022021,36.18801251,노외,13,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,논산시 민원콜센터 1422-17
2026,설,11186,취암동 813,지방자치단체,충청남도 논산시 건설도시국 교통과,충남 논산시 취암동 813,,127.0877552,36.1955648,노외,25,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,논산시 민원콜센터 1422-17
2026,설,11192,대구광역시교육청 부설주차장,공공기관,대구광역시교육청,대구 수성구 수성로76길 11 (수성동2가),대구광역시교육청,128.6146184,35.85834275,부설.부속,127,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11227,부산한마음스포츠센터 부설주차장,공공기관,부산시설공단,부산광역시 해운대구 세실로 175,지하주차장,129.1772581,35.18034891,부설.부속,105,2026-02-14,18:00~24:00,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,일반주차:78면 장애인주차:27면
2026,설,11236,산동중·영천전자고등학교 주차장,공공기관,경상북도교육청 영천전자고등학교,경북 영천시 화남면 천문로 1709,,128.897874,36.06838306,노외,40,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11237,만수초등학교 주차장,공공기관,충청북도교육청 충청북도청주교육지원청 만수초등학교,충북 청주시 흥덕구 오송읍 만수2길 11,,127.3293334,36.62730273,노상,50,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11238,충주예성여자고등학교,공공기관,충청북도교육청 충주예성여자고등학교,충청북도 충주시 호암대로 42,건물 앞뒤,127.9306001,36.95460514,노상,72,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,지역주민에게만 개방
2026,설,11239,구정초등학교,공공기관,충청북도교육청 충청북도진천교육지원청 구정초등학교,충청북도 진천군 초평면 원댕이길 3,본관 옆 주차장,127.5358047,36.78100712,노외,17,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11240,청주동중학교 주차장,공공기관,충청북도교육청 충청북도청주교육지원청 청주동중학교,충청북도 청주시 상당구 수영로 258,청주동중학교,127.506187,36.62846057,부설.부속,28,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11241,봉화중고등학교,공공기관,경상북도교육청 봉화고등학교,경북 봉화군 봉화읍 삼계리 58-2,봉화중고등학교 후문앞 전용주차장,128.7396933,36.89606057,노상,5,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,봉화중고등학교 병설
2026,설,11242,한솔초등학교,공공기관,충청북도교육청 충청북도청주교육지원청 한솔초등학교,충북 청주시 서원구 구룡산로 291 (수곡동),,127.4763937,36.61875398,노상,40,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11248,주중초등학교 주차장,공공기관,충청북도교육청 충청북도청주교육지원청 주중초등학교,충북 청주시 청원구 주성로 223 (주중동),주중초등학교 정문 앞,127.4914702,36.67228923,노상,10,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,정문 앞 주차장 개방
2026,설,11249,문경지사 주차장,공공기관,한국전력공사,경북 문경시 모전로 75 (모전동),한국전력공사 문경지사,128.1890257,36.58756693,부설.부속,9,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11250,청운초등학교 주차장,공공기관,강원특별자치도교육청 강원특별자치도동해교육지원청 청운초등학교,강원특별자치도 동해시 쇄운동 77-2,청운초등학교 정문 옆 주차장,129.1032792,37.48551775,부설.부속,42,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11251,밀양지사 주차장,공공기관,한국전력공사,경남 밀양시 가곡7길 30 (가곡동),한국전력공사 밀양지사,128.7651391,35.47338118,부설.부속,53,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11253,보령지사 주차장,공공기관,한국전력공사,충청남도 보령시 옥마로 60,한국전력공사 보령지사,126.6229585,36.33770396,부설.부속,7,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11255,보성지사 주차장,공공기관,한국전력공사,전라남도 보성군 보성읍 송재로 53,한국전력공사 보성지사,127.0719923,34.76223523,부설.부속,16,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11257,경산고등학교 주차장,공공기관,경상북도교육청 경산고등학교,경상북도 경산시 원효로 89,,128.7488114,35.82485559,노상,110,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11259,보은지사 주차장,공공기관,한국전력공사,충북 보은군 보은읍 장신로 40,한국전력공사 보은지사,127.7121645,36.48091572,부설.부속,28,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11262,본사 주차장,공공기관,한국전력공사,전남 나주시 전력로 55 (빛가람동),한국전력공사 본사,126.7844537,35.0263692,부설.부속,794,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11263,가득유치원,교육청,세종특별자치시교육청 가득유치원,세종특별자치시 세종로 933 (새롬동),가득유치원 본관 앞,127.2436267,36.48703635,노상,16,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,일반15면 장애인전용 1면
2026,설,11264,대구비슬초등학교,공공기관,대구광역시교육청 대구광역시달성교육지원청 대구비슬초등학교,대구 달성군 유가읍 테크노북로 144,,128.4589414,35.69592604,부설.부속,54,2026-02-14,07:00~22:00,2026-02-15,07:00~22:00,2026-02-16,07:00~22:00,2026-02-17,07:00~22:00,2026-02-18,07:00~22:00,무료,
2026,설,11267,봉화지사 주차장,공공기관,한국전력공사,경북 봉화군 봉화읍 내성로 42,한국전력공사 봉화지사,128.7415786,36.88622603,부설.부속,7,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11269,가평마장초등학교 교직원 주차장,공공기관,경기도교육청 경기도가평교육지원청 가평마장초등학교,경기 가평군 가평읍 각담말길 15,가평마장초등학교,127.5143792,37.86028746,노상,26,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,마장초 교직원 주차장 개방
2026,설,11275,한봄고등학교 노상주차장,교육청,경기도교육청 한봄고등학교,경기 수원시 권선구 호매실로 46-93 (탑동),,126.9693453,37.25945904,노상,55,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,00:00~18:00,무료,
2026,설,11277,용문중학교 주차장,공공기관,경상북도교육청 경상북도예천교육지원청 용문중학교,경상북도 예천군 용문면 상금시장길 45-2,,128.4053823,36.69311501,부설.부속,10,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11278,광주화정중학교 내 주차장,공공기관,광주광역시교육청 광주광역시서부교육지원청 광주화정중학교,광주 서구 화운로 53 (화정동),교문 진입 후 전면 및 우측,126.8823691,35.14412529,노상,40,2026-02-14,08:00~16:30,2026-02-15,08:00~16:30,2026-02-16,08:00~16:30,2026-02-17,08:00~16:30,2026-02-18,08:00~16:30,무료,16:30분 이전 반드시 출차 하여야 합니다
2026,설,11279,충청북도교육청 충북상업정보고등학교,공공기관,충청북도교육청 충북상업정보고등학교,충북 청주시 청원구 율천북로 73 (율량동),,127.4793807,36.66461048,노외,71,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,본관 뒤편 장애인주차구역 2대 후관 필로티 주차구역 4
2026,설,11280,추산초등학교 주차장,교육청,경기도교육청 경기도포천교육지원청 추산초등학교,경기도 포천시 소흘읍 솔모루로3번길 52-20,,127.1370813,37.82650676,노상,30,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11282,청주중앙여자중학교,공공기관,충청북도교육청 충청북도청주교육지원청 청주중앙여자중학교,충청북도 청주시 청원구 율천북로 59,본관 양옆,127.4771709,36.66414779,부설.부속,49,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,당직실 번호: 070-4349-6553
2026,설,11284,부안지사 주차장,공공기관,한국전력공사,전북특별자치도 부안군 부안읍 선은리 642-4,한국전력공사 부안지사,126.7341292,35.73798962,부설.부속,65,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11286,부여지사 주차장,공공기관,한국전력공사,충남 부여군 부여읍 성왕로 396,한국전력공사 부여지사,126.9302768,36.28307708,부설.부속,70,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11288,태인초등학교 주차장,공공기관,전라남도교육청 전라남도광양교육지원청 태인초등학교,전라남도 광양시 태인길 95,태인초등학교 입구,127.7446558,34.94546523,기타,23,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,평일에는 교직원 및 학교 방문자만 사용 가능합니다
2026,설,11289,권선중학교 주차장,교육청,경기도교육청 경기도수원교육지원청 권선중학교,경기 수원시 권선구 경수대로 239 (세류동),,127.0171235,37.24884036,노상,37,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,당직실 070-5210-2737
2026,설,11291,구례북중학교,공공기관,전라남도교육청 전라남도구례교육지원청 구례북중학교,전남 구례군 용방면 선월길 97,,127.4393457,35.25832648,노상,10,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11292,죽산중학교 주차장,공공기관,경기도교육청 경기도안성교육지원청 죽산중학교,경기 안성시 죽산면 죽산향교길 54-40,,127.4239468,37.08212845,부설.부속,35,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,중고통합
2026,설,11293,솔빛숲유치원,교육청,세종특별자치시교육청 솔빛숲유치원,세종특별자치시 반곡3길 10 (반곡동),,127.3138469,36.49382942,노상,14,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11295,북부산지사 주차장,공공기관,한국전력공사,부산 사상구 백양대로700번길 24 (덕포동),한국전력공사 북부산지사,128.989921,35.16869689,부설.부속,9,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,11296,삼근초등학교,공공기관,경상북도교육청 경상북도울진교육지원청 삼근초등학교,경북 울진군 금강송면 삼근2길 23,삼근초등학교,129.2460977,36.93556606,노상,22,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
