주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
19,구등기소 공동 주차장,노외,지평식,길음3동 935(주소학인),,41,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,,,2016-01-01
20,우리마을 공동(제7호) 주차장,노외,지평식,하월곡동 84-84,,4,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6093549,127.0324995,2016-01-01
21,월곡2 공동 주차장,노외,지평식,월곡2동 10-15,,12,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6045677,127.0444303,2016-01-01
22,월곡동청사 공동 주차장,노외,지평식,하월곡동 226-4,,68,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6003663,127.0412992,2016-01-01
23,71번지 공동 주차장,노외,지평식,종암1동 71,,12,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.598419,127.0328803,2016-01-01
24,종암교회 공동 주차장,노외,지평식,종암1동 133-8,,21,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.599942,127.032598,2016-01-01
25,종암동청사 공동 주차장,노외,지평식,종암2동 105,,21,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,,,2016-01-01
26,친환경 공동 주차장,노외,지평식,종암2동 8-255,성북구 종암로 56(종암동),8,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,,,2016-01-01
27,우리마을 공동(제4호) 주차장,노외,지평식,종암동 125-63,,9,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5985371,127.0274935,2016-01-01
28,장위동 제2공동 주차장,노외,지평식,장위1동 270-214,,15,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6175397,127.0501186,2016-01-01
29,장위동제3공동 주차장,노외,지평식,장위1동 231-535,,13,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6118269,127.0426045,2016-01-01
30,장위동 제4공동 주차장,노외,지평식,장위1동 230-16,,28,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6153996,127.0445931,2016-01-01
31,우리마을 공동(제5호) 주차장,노외,지평식,장위1동 산3-113,,9,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6120988,127.040325,2016-01-01
32,성광교회 공동 주차장,노외,지평식,장위2동 68-201,,18,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6111745,127.0523334,2016-01-01
33,사랑제일교회 공동 주차장,노외,지평식,장위2동 74-45,성북구 돌곶이로 25길 12-4(장위동),10,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6134408,127.0530388,2016-01-01
34,진흥선원 공동 주차장,노외,지평식,장위2동 76-55,성북구 돌곶이로34길 4-11(장위동),22,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6164436,127.0520154,2016-01-01
35,견인보관소,노외,지평식,장위동 65-171,성북구 화랑로 207,2,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6091175,127.0530254,2016-01-01
36,광운대입구 주차장 ,노외,지평식,장위동136-1,성북구 돌곶이로 32길 78,18,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.617561,127.0551013,2016-01-01
37,우리마을 공동(제13호~16호)주차장,노외,지평식,"장위동 307-54,70,77,88",성북구 한천로 741-8(장위동),16,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.622256,127.0508662,2016-01-01
38,센트럴타운,노외,지평식,장위동 316-3 센트럴타운,성북구 월계로 40길 7,10,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6229608,127.0484252,2016-01-01
39,친환경 테마 공동 주차장,노외,지평식,석관동 133-91,,6,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6127013,127.063644,2016-01-01
40,석관초교 공동 주차장,노외,지평식,석관동 213-1,성북구 한천로79길 34-7(석관동),16,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6110311,127.0601381,2016-01-01
41,성암교회 부설 주차장,노외,지평식,보문동 1가 3-22,성북구 인촌로5길53(보문동1가),13,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5879033,127.0190166,2016-01-01
