시도명,데이터등록기관명,시군명,주차장명,주차장유형,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,연락처,연휴1일차(1-24)개방시작시간,연휴1일차(1-24)개방종료시간,연휴2일차(1-25)개방시작시간,연휴2일차(1-25)개방종료시간,연휴3일차(1-26)개방시작시간,연휴3일차(1-26)개방종료시간,연휴4일차(1-27)개방시작시간,연휴4일차(1-27)개방종료시간,종일개방여부
경기도,광주시,광주시,송정동(경화여고 진입로) 노상주차장,노상,경기도 광주시 수하길19번길 10 맞은편,경기도 광주시 송정동 76-19,37.416153,127.262473,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,광주경찰서 앞 노상주차장,노상,경기도 광주시 포돌이로 (경찰서 앞),경기도 광주시 탄벌동 505-16,37.410936,127.240802,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,상번천리 노외주차장(1) (2),노외,경기도 광주시 해공로 24 앞,경기도 광주시 남한산성면 상번천리 836,37.448011,127.262494,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,동보 및 두진아파트 앞 노상주차장,노상,경기도 광주시 포돌이로 10 앞,경기도 광주시 탄벌동 52-2,37.415034,127.250382,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,목현천 둔치 노외주차장,노외,경기도 광주시 파발로 134,경기도 광주시 경안동 101-2,37.413961,127.256328,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,해태아파트 입구 노상주차장,노상,경기도 광주시 경안로 해태아파트 앞,경기도 광주시 경안동 241-19,37.407405,127.253534,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,청석공원 노상주차장,노상,경기도 광주시 파발로 앞,경기도 광주시 경안동 242-12,37.411109,127.262085,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,탄탄병원 인근 노상주차장,노외,경기도 광주시 경안로 40,경기도 광주시 경안동 36-85,37.409276,127.256261,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,경안1지구 노외주차장,노외,경기도 광주시 파발로59번길 25,경기도 광주시 경안동 424,37.412493,127.261106,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,해태아파트 좌측 노상주차장,노상,경기도 광주시 경안로 112 앞,경기도 광주시 경안동 193-5,37.407079,127.249395,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,해태아파트 우측 노상주차장,노상,경기도 광주시 경안로98번길 8 앞,경기도 광주시 경안동 172-40,37.407688,127.250685,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,통미로(나산아파트) 노상주차장,노상,경기도 광주시 통미로 36 앞,경기도 광주시 경안동 108-47,37.415838,127.253209,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,역동로(신영아트빌) 노상주차장,노상,경기도 광주시 역동로 60-7 앞,경기도 광주시 역동 136-9,37.402888,127.255431,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,하남21세기자동차학원 앞 노상주차장,노상,경기도 광주시 중앙로 362-41 앞,경기도 광주시 송정동 492,37.430219,127.259868,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,초월e편한세상 노상주차장,노상,경기도 광주시 초월읍 경충대로127번길 앞,경기도 광주시 초월읍 쌍동리 302-8,37.376431,127.289281,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,곤지암생활체육공원 임시 노외주차장,노외,경기도 광주시 초월읍 평촌길 12-187 앞,경기도 광주시 초월읍 늑현리 193-53번지,37.361279,127.319773,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,경안동 노상주차장,노상,경기도 광주시 경안동 72-98 외2,경기도 광주시 경안동 72-98 외2,37.412049,127.255974,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,대쌍령리 노외주차장,노외,경기도 광주시 초월읍 대상령리 11,경기도 광주시 초월읍 대상령리 11,37.384424,127.29971,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,광지원리 교량 하부 노외주차장,노외,경기도 광주시 남한산성면 광지원리 184-8,경기도 광주시 남한산성면 광지원리 184-8,37.46427068,127.2501666,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,시립도서관 옆 노상주차장,노상,경기도 광주시 경안동 161-41,경기도 광주시 경안동 161-41,37.41130452,127.2538624,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,경안안길 노상주차장,노상,경기도 광주시 경안동 72-98 외2,경기도 광주시 경안동 72-98 외2,37.41202033,127.2559226,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,광주역세권 노외주차장,노외,경기도 광주시 역동 176-68,경기도 광주시 역동 176-68,37.40030501,127.2528644,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,송정동 마을 노외주차장,노외,경기도 광주시 송정동 581,경기도 광주시 송정동 581,37.41622156,127.253407,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,곤지암역세권 노외주차장,노외,경기도 광주시 곤지암리 367-18,경기도 광주시 곤지암리 367-18,37.35114753,127.3452869,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,도담이 노상주차장,노상,경기도 광주시 매산동 산156,경기도 광주시 매산동 산156,37.35969912,127.2452966,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
