연번,구분,주차장명,주소지(도로명주소 또는 지번),운영방식,주차장 층수,전체면적(제곱미터),주차면수,주차요금유무,설치연도,전화번호,관리부서
19,노상,신정호길 노상주차장,옥련암~지방도 623호,직영,지평식,984,82,무,,041-540-2369,교통행정과
20,노상,배방읍 장재리 제5노상주차장,장재로(장재휴먼시아1단지아파트),직영,지평식,468,39,무,,041-540-2369,교통행정과
21,노상,용화동 제2노상주차장,남부로 교차로~시민로 194번길 교차로,직영,지평식,480,40,무,,041-540-2369,교통행정과
22,노상,번영로 234번길 노상주차장,번영로 교차로~삼동로 16번길 교차로,직영,지평식,552,46,무,,041-540-2369,교통행정과
23,노상,법곡동 제1공영노상주차장,법곡동 산2-11 일원(법곡길),직영,지평식,600,50,무,,041-540-2369,교통행정과
24,노외,신창면 창암리 제1공영주차장,충청남도 아산시 신창면 창암리 557,직영,지평식,602.2,17,무,2015,041-540-2369,교통행정과
25,노외,신창면 창암리 제2공영주차장,충청남도 아산시 신창면 창암리 539,직영,지평식,1032.6,36,무,2015,041-540-2369,교통행정과
26,노외,모종동 제1공영주차장,충청남도 아산시 모종동 562-4,위탁,지평식,1927.8,63,유(무인),2017,041-540-2369,교통행정과
27,노외,실옥동 제1공영주차장,충청남도 아산시 실옥동 217-1,직영,지평식,2048,70,무,2019,041-540-2369,교통행정과
28,노외,실옥동 제2공영주차장,"충청남도 아산시 실옥동 181-125, 181-9",직영,지평식,1555,30,무,2019,041-540-2369,교통행정과
29,노외,용화동 제3공영주차장,충청남도 아산시 용화동 1459,직영,지평식,688,30,무,2010,041-540-2369,교통행정과
30,노외,용화동 제4공영주차장,충청남도 아산시 용화동 1596,직영,지평식,689,22,무,2010,041-540-2369,교통행정과
31,노외,용화동 제5공영주차장,충청남도 아산시 온천동 2430,직영,지평식,248,8,무,2015,041-540-2369,교통행정과
32,노외,용화동 제6공영주차장,충청남도 아산시 온천동 2038,직영,지평식,1011,26,무,2021,041-540-2369,교통행정과
33,노외,도고농공단지 공영주차장,충청남도 아산시 도고면 신언리 809,직영,지평식,2000,54,무,2011,041-540-2369,교통행정과
34,노외,온천동 제1공영주차장,충청남도 아산시 온천동 1926,직영,지평식,1831.1,60,무,2016,041-540-2369,교통행정과
35,노외,온천동 제2공영주차장,충청남도 아산시 온천동 2829,위탁,지상4층,2914.12,83,유(무인),2022,041-540-2369,교통행정과
36,노외,온천동 제3공영주차장,충청남도 아산시 온천동 2999,위탁,지상4층,3064.5,84,유(무인),2022,041-540-2369,교통행정과
37,노외,온천동 제4공영주차장,충청남도 아산시 온천동 3143,직영,지평식,427.1,12,무,2022,041-540-2369,교통행정과
38,노외,배방읍 공수리 제1공영주차장,충청남도 아산시 배방읍 공수리 1451,직영,지평식,747,25,무,2015,041-540-2369,교통행정과
39,노외,배방읍 공수리 제2공영주차장,충청남도 아산시 배방읍 공수리 1495,위탁,지상3층,4599.4,168,유(무인),2021,041-540-2369,교통행정과
40,노외,배방읍 공수리 제3공영주차장,충청남도 아산시 배방읍 공수리 1655,위탁,지상4층,4954.16,175,유(무인),2020,041-540-2369,교통행정과
41,노외,인주면 걸매리 제1공영주차장,충청남도 아산시 인주면 걸매리 1004,직영,지평식,4167,140,무,2007,041-540-2369,교통행정과
42,노외,인주면 걸매리 제2공영주차장,충청남도 아산시 인주면 걸매리 1024,직영,지평식,863,30,무,2007,041-540-2369,교통행정과
43,노외,인주면 걸매리 제3공영주차장,충청남도 아산시 인주면 걸매리 1049,직영,지평식,1300,132,무,2007,041-540-2369,교통행정과
44,노외,아산테크노밸리 제1공영주차장,충청남도 아산시 둔포면 석곡리 1482,직영,지평식,12449.1,355,무,2010,041-540-2369,교통행정과
45,노외,아산테크노밸리 제2공영주차장,충청남도 아산시 둔포면 석곡리 1480,위탁,지평식,5153,165,무,2010,041-540-2369,교통행정과
46,노외,아산제2테크노밸리 제3공영주차장,충청남도 아산시 음봉면 신휴리 793,직영,지평식,2505,83,무,2016,041-540-2369,교통행정과
47,노외,아산제2테크노밸리 제4공영주차장,충청남도 아산시 둔포면 석곡리 1949,직영,지평식,1650,65,무,2016,041-540-2369,교통행정과
48,노외,아산제2테크노밸리 제5공영주차장,충청남도 아산시 둔포면 석곡리 2037,직영,지평식,3023.2,97,무,2016,041-540-2369,교통행정과
49,노외,신창역 공영주차장,"충청남도 아산시 신창면 행목리 346-1,2,22,39",직영,지평식,1989,39,무,2010,041-540-2369,교통행정과
50,노외,둔포운용산단 공영주차장,충청남도 아산시 둔포면 운용리 668,직영,지평식,737.3,28,무,2012,041-540-2369,교통행정과
51,노외,배방읍 북수리 제1공영주차장,충청남도 아산시 배방읍 북수리 1122,위탁,지하1층/지상4층,3477.5,97,유(무인),2022,041-540-2369,교통행정과
52,노외,배방읍 북수리 제2공영주차장,충청남도 아산시 배방읍 북수리 1672,직영,지평식,1172,37,무,2019,041-540-2369,교통행정과
53,노외,배방읍 북수리 제3공영주차장,충청남도 아산시 배방읍 북수리 1649,직영,지평식,982.3,27,무,2019,041-540-2369,교통행정과
54,노외,배방읍 북수리 제4공영주차장,충청남도 아산시 배방읍 북수리 1612,직영,지평식,670.1,19,무,2019,041-540-2369,교통행정과
55,노외,배방읍 북수리 제6공영주차장,충청남도 아산시 배방읍 북수리 1555,직영,지평식,804.2,22,무,2019,041-540-2369,교통행정과
56,노외,배방읍 북수리 제7공영주차장,충청남도 아산시 배방읍 북수리 1733,직영,지평식,700.5,20,무,2019,041-540-2369,교통행정과
57,노외,방축동 제1공영주차장,충청남도 아산시 방축동 428-30,위탁,지상1층,2849.76,166,무,2021,041-540-2369,교통행정과
58,노외,방축동 제2공영주차장,충청남도 아산시 방축동 763,직영,지평식,921.8,40,무,2019,041-540-2369,교통행정과
59,노외,방축동 제3공영주차장,충청남도 아산시 방축동 730,직영,지평식,859.7,28,무,2019,041-540-2369,교통행정과
60,노외,방축동 제4공영주차장,충청남도 아산시 방축동 140-31,직영,지평식,2443,66,무,2022,041-540-2369,교통행정과
61,노외,도고면 기곡리 제1공영주차장,충청남도 아산시 도고면 기곡리 296-4,직영,지평식,937.5,80,무,2003,041-540-2369,교통행정과
62,노외,캠핑용자동차 전용공영주차장,충청남도 아산시 염치읍 서원리 산 10-5,위탁,지평식,1129,29,유(무인),2021,041-540-2369,교통행정과
63,노외,좌부동 공영주차장,충청남도 아산시 배방읍 신흥리 64-1,직영,지평식,2740.6,64,무,2021,041-540-2369,교통행정과
64,노외,득산동 공영주차장,충청남도 아산시 득산동 389,직영,지평식,2719,88,무,2021,041-540-2369,교통행정과
65,노외,둔포면 둔포리 공영주차장,충청남도 아산시 둔포면 둔포리 458-16,직영,지평식,2249,88,무,2023,041-540-2369,교통행정과
66,노외,탕정면 매곡리 제1공영주차장,충청남도 아산시 탕정면 매곡리 1167,직영,지평식,321,28,무,2023,041-540-2369,교통행정과
67,노외,한들물빛도시 제1공영주차장,충청남도 아산시 탕정면 매곡리 1202,직영,지평식,5140,188,무,2023,041-540-2369,교통행정과
68,노외,탕정지구 제3공영주차장,충청남도 아산시 탕정면 매곡리 1240,직영,지평식,1240,38,무,2023,041-540-2369,교통행정과
69,노외,탕정지구 제4공영주차장,충청남도 아산시 탕정면 매곡리 1272,직영,지평식,1133,42,무,2023,041-540-2369,교통행정과
70,노외,탕정지구 제5공영주차장,충청남도 아산시 탕정면 매곡리 1329,직영,지평식,815,30,무,2023,041-540-2369,교통행정과
71,노외,탕정지구 제6공영주차장,충청남도 아산시 탕정면 매곡리 1374,직영,지평식,590,18,무,2023,041-540-2369,교통행정과
72,노외,탕정지구 제7공영주차장,충청남도 아산시 탕정면 매곡리 1408,직영,지평식,1210,44,무,2023,041-540-2369,교통행정과
73,노외,탕정지구 제8공영주차장,충청남도 아산시 배방읍 세교리 1532,직영,지평식,1570,57,무,2023,041-540-2369,교통행정과
74,노외,탕정지구 제9공영주차장,충청남도 아산시 배방읍 세교리 1576,직영,지평식,1080,34,무,2023,041-540-2369,교통행정과
75,노외,탕정 지중해마을 공영주차장,충청남도 아산시 탕정면 명암리 946-2,위탁,지상4층,"5,765.40",198,유(무인),2025,041-540-2369,교통행정과
76,노외,신창면 읍내리 제1공영주차장,충청남도 아산시 신창면 읍내리 290-5. 291-1,직영,지평식,885,29,무,2024,041-540-2369,교통행정과
77,노외,온양2동 공영주차장,충청남도 아산시 온천동 771,직영,지평식,702,18,무,2024,041-540-2369,교통행정과
