주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,요금정보,1일주차권요금,월정기권요금,결제방법,특이사항,관리기관명,전화번호,데이터기준일자
온천동 제3공영주차장,공영,노외,충청남도 아산시 온천동 2999번지,84,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
장재리 제1공영주차장,공영,노외,충청남도 아산시 배방읍 장재리 2022,87,2,유료,8000,70000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000)+정기권(주간 50000, 야간 25000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
장재리 제4공영주차장,공영,노외,충청남도 아산시 배방읍 장재리 2011,20,2,유료,8000,,카드,30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000),아산시시설관리공단,041-531-6997,2025-12-31
공수리 제2공영주차장,공영,노외,충청남도 아산시 공수리 1495번지,167,2,유료,8000,70000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000)+정기권(주간 50000, 야간 25000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
공수리 제3공영주차장,공영,노외,충청남도 아산시 공수리 1655번지,175,2,유료,8000,70000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000)+정기권(주간 50000, 야간 25000)+감면대상50% 감면",아산시시설관리공단,041-547-6997,2025-12-31
모종동 제1공영주차장,공영,노외,충청남도 아산시 모종동 562-4,62,2,유료,8000,70000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000)+정기권(주간 50000, 야간 25000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
아산테크노밸리 제1공영주차장,공영,노외,충청남도 아산시 둔포면 석곡리 1482,25,3,무료,해당없음,해당없음,해당없음,주차관제 장비 조작 및 cctv 관리만 하고 그외는 공단 소관이 아님,아산시시설관리공단,041-531-6997,2025-12-31
아산테크노밸리 제2공영주차장,공영,노외,충청남도 아산시 둔포면 석곡리 1480,165,3,무료,해당없음,해당없음,해당없음,없음,아산시시설관리공단,041-531-6997,2025-12-31
탕정 지중해마을 공영주차장,공영,노외,충청남도 아산시 탕정면 명암리 946-2,196,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-549-8377,2025-12-31
공수리 제1공영주차장,공영,노외,충청남도 아산시 배방읍 공수리 61-115,59,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
한들물빛도시 제1공영주차장,공영,노외,충청남도 아산시 탕정면 매곡리 1202,165,2,유료,8000,70000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 4000)+정기권(주간 50000, 야간 25000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
세교리 제1공영주차장,공영,노외,충청남도 아산시 배방읍 세교리 1532,55,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
매곡리 제1공영주차장,공영,노외,충청남도 아산시 탕정면 매곡리 1167,26,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
온양온천시장 복합지원센터,공영,노외,충청남도 아산시 온천동 41-2,175,기타,유료,해당없음,해당없음,카드,없음,아산시시설관리공단,041-533-6995,2025-12-31
